"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A2T79473SWZ0L6","https://master-requester.mturk.com/workers/A2T79473SWZ0L6","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A2TUMENS9R17PE","https://master-requester.mturk.com/workers/A2TUMENS9R17PE","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A2VNBZ7P595W77","https://master-requester.mturk.com/workers/A2VNBZ7P595W77","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"A2XQVNF7ZABUQZ","https://master-requester.mturk.com/workers/A2XQVNF7ZABUQZ","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A2YSSM96QE9A4T","https://master-requester.mturk.com/workers/A2YSSM96QE9A4T","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A31EE6ORUFKXLY","https://master-requester.mturk.com/workers/A31EE6ORUFKXLY","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A31R3A3DFZBG8G","https://master-requester.mturk.com/workers/A31R3A3DFZBG8G","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"A349TSPKFHIWE1","https://master-requester.mturk.com/workers/A349TSPKFHIWE1","1","0","0.00%","1","0","0.00%","0","0","0.00%","Never Blocked","",""
"A388DAM6EDB2EQ","https://master-requester.mturk.com/workers/A388DAM6EDB2EQ","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A3CLGUZHWU3699","https://master-requester.mturk.com/workers/A3CLGUZHWU3699","1","0","0.00%","1","0","0.00%","0","0","0.00%","Never Blocked","",""
"A3GUUW46FNRMS3","https://master-requester.mturk.com/workers/A3GUUW46FNRMS3","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A3HOZA7QXYKN5Y","https://master-requester.mturk.com/workers/A3HOZA7QXYKN5Y","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A3JT2I4GGKDYPE","https://master-requester.mturk.com/workers/A3JT2I4GGKDYPE","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"A3K0CI3AT2YPBB","https://master-requester.mturk.com/workers/A3K0CI3AT2YPBB","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"A3KTUKOVGWE9CF","https://master-requester.mturk.com/workers/A3KTUKOVGWE9CF","1","0","0.00%","1","0","0.00%","0","0","0.00%","Never Blocked","",""
"A4158R4Y06ZB4","https://master-requester.mturk.com/workers/A4158R4Y06ZB4","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"A87D2QQZOQ3MG","https://master-requester.mturk.com/workers/A87D2QQZOQ3MG","1","0","0.00%","1","0","0.00%","1","0","0.00%","Never Blocked","",""
"AG478V4QF3J8H","https://master-requester.mturk.com/workers/AG478V4QF3J8H","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"AH56J7I291XL7","https://master-requester.mturk.com/workers/AH56J7I291XL7","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"AMTW4Y9FUYY5T","https://master-requester.mturk.com/workers/AMTW4Y9FUYY5T","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"ANDMBVTL9F23B","https://master-requester.mturk.com/workers/ANDMBVTL9F23B","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"APD8A11HXR94C","https://master-requester.mturk.com/workers/APD8A11HXR94C","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"APDZ10TRIR1Q9","https://master-requester.mturk.com/workers/APDZ10TRIR1Q9","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"ARMR0CTYYZCAW","https://master-requester.mturk.com/workers/ARMR0CTYYZCAW","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"AU9X65TEUJ6H9","https://master-requester.mturk.com/workers/AU9X65TEUJ6H9","1","0","0.00%","1","0","0.00%","0","0","0.00%","Never Blocked","",""
"AXEJ9J9E4EPDK","https://master-requester.mturk.com/workers/AXEJ9J9E4EPDK","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
"AYDILOZLKOAS8","https://master-requester.mturk.com/workers/AYDILOZLKOAS8","1","1","100.00%","1","1","100.00%","0","0","0.00%","Never Blocked","",""
